NEIGHBORHOOD,DATE,CURBSIDE RECYCLING (IN POUNDS),CURBSIDE GARBAGE (IN POUNDS),CURBSIDE RECYCLING RATE
COLD SPRING,01/31/2018,5.31,39.52,12
COLD SPRING,04/30/2018,5.05,32.42,13
COLD SPRING,03/31/2018,6.00,31.82,16
COLD SPRING,07/31/2018,4.69,35.47,12
COLD SPRING,06/30/2018,5.16,42.90,11
COLUMBUS,03/31/2018,4.96,23.78,17
COLUMBUS,10/31/2018,6.40,32.23,17
COLUMBUS,09/30/2018,5.67,31.29,15
COLUMBUS,04/30/2018,5.44,33.04,14
COLUMBUS,07/31/2018,5.73,28.81,17
COLUMBUS,08/31/2018,6.67,38.27,15
COLUMBUS,12/31/2017,6.05,34.87,15
COLUMBUS,11/30/2018,5.30,32.43,14
COLUMBUS,05/31/2018,7.09,42.97,14
COLUMBUS,02/28/2018,5.18,25.97,17
COLUMBUS,06/30/2018,5.97,29.92,17
COLUMBUS,01/31/2018,6.48,31.17,17
DELAWARE PARK,02/28/2018,3.57,11.80,23
DELAWARE PARK,07/31/2018,3.47,17.08,17
DELAWARE PARK,06/30/2018,4.29,19.80,18
DELAWARE PARK,05/31/2018,5.43,24.16,18
DELAWARE PARK,10/31/2018,3.57,14.43,20
DELAWARE PARK,04/30/2018,3.64,15.16,19
DELAWARE PARK,03/31/2018,4.32,17.90,19
DELAWARE PARK,08/31/2018,4.62,21.97,17
DELAWARE PARK,11/30/2018,4.38,20.86,17
DELAWARE PARK,12/31/2017,3.61,12.77,22
DELAWARE PARK,01/31/2018,3.39,10.70,24
DELAWARE PARK,09/30/2018,3.66,17.40,17
DELAWARE W. FERRY,05/31/2018,25.67,155.88,14
DELAWARE W. FERRY,01/31/2018,23.76,120.28,16
DELAWARE W. FERRY,03/31/2018,20.42,91.42,18
DELAWARE W. FERRY,10/31/2018,25.16,130.69,16
DELAWARE W. FERRY,09/30/2018,19.89,105.14,16
DELAWARE W. FERRY,08/31/2018,25.48,140.61,15
DELAWARE W. FERRY,02/28/2018,20.36,96.13,17
DELAWARE W. FERRY,07/31/2018,18.17,93.76,16
DELAWARE W. FERRY,11/30/2018,21.54,109.02,16
DELAWARE W. FERRY,06/30/2018,21.38,121.23,15
DELAWARE W. FERRY,04/30/2018,19.92,98.53,17
DELAWARE W. FERRY,12/31/2017,22.08,99.90,18
EMERSON,05/31/2018,12.84,134.91,9
EMERSON,08/31/2018,10.08,92.06,10
EMERSON,07/31/2018,12.09,103.21,10
EMERSON,03/31/2018,8.99,77.88,10
EMERSON,04/30/2018,9.77,87.41,10
EMERSON,12/31/2017,8.18,72.70,10
EMERSON,06/30/2018,10.91,93.71,10
EMERSON,10/31/2018,11.17,108.55,9
EMERSON,01/31/2018,9.78,115.13,8
EMERSON,11/30/2018,9.28,78.22,11
EMERSON,02/28/2018,8.82,78.15,10
EMERSON,09/30/2018,9.70,87.49,10
EMSLIE,08/31/2018,9.52,84.10,10
EMSLIE,11/30/2018,9.32,79.50,10
EMSLIE,07/31/2018,10.95,105.60,9
EMSLIE,12/31/2017,8.95,61.15,13
EMSLIE,10/31/2018,11.49,95.10,11
EMSLIE,04/30/2018,11.74,81.98,13
EMSLIE,05/31/2018,10.73,91.83,10
EMSLIE,03/31/2018,8.06,70.27,10
EMSLIE,01/31/2018,11.05,89.69,11
EMSLIE,09/30/2018,9.81,73.90,12
EMSLIE,06/30/2018,12.11,84.37,13
EMSLIE,02/28/2018,8.69,64.52,12
FIRST WARD,03/31/2018,10.84,56.69,16
FIRST WARD,07/31/2018,12.55,86.27,13
FIRST WARD,08/31/2018,10.09,71.68,12
FIRST WARD,01/31/2018,11.82,68.23,15
FIRST WARD,04/30/2018,13.56,72.86,16
FIRST WARD,12/31/2017,9.98,43.81,19
FIRST WARD,02/28/2018,9.05,49.07,16
FIRST WARD,11/30/2018,11.92,67.15,15
FIRST WARD,05/31/2018,9.92,66.04,13
FIRST WARD,06/30/2018,11.30,60.76,16
FIRST WARD,10/31/2018,12.41,84.06,13
FIRST WARD,09/30/2018,9.30,56.49,14
FOREST,06/30/2018,51.40,269.36,16
FOREST,07/31/2018,42.93,225.20,16
FOREST,05/31/2018,46.24,240.02,16
FOREST,01/31/2018,41.68,182.37,19
FOREST,12/31/2017,58.66,233.19,20
FOREST,02/28/2018,37.40,167.14,18
FOREST,11/30/2018,51.17,244.74,17
FOREST,10/31/2018,41.71,229.05,15
FOREST,03/31/2018,45.66,199.00,19
FOREST,09/30/2018,44.22,217.37,17
FOREST,08/31/2018,54.24,275.53,16
FOREST,04/30/2018,41.20,203.72,17
FRONT PARK,06/30/2018,62.18,386.78,14
FRONT PARK,02/28/2018,56.91,285.99,17
FRONT PARK,08/31/2018,78.11,432.92,15
FRONT PARK,09/30/2018,58.95,354.78,14
FRONT PARK,10/31/2018,68.16,434.64,14
FRONT PARK,04/30/2018,56.96,345.68,14
FRONT PARK,05/31/2018,72.73,480.44,13
FRONT PARK,03/31/2018,51.90,320.48,14
FRONT PARK,07/31/2018,58.63,385.74,13
FRONT PARK,11/30/2018,60.52,380.47,14
FRONT PARK,01/31/2018,63.70,379.40,14
FRONT PARK,12/31/2017,61.65,295.03,17
GENESEE MOSELLE,06/30/2018,21.54,163.22,12
GENESEE MOSELLE,09/30/2018,20.74,159.10,12
GENESEE MOSELLE,08/31/2018,21.77,163.35,12
GENESEE MOSELLE,03/31/2018,18.67,129.39,13
GENESEE MOSELLE,12/31/2017,17.36,120.75,13
GENESEE MOSELLE,05/31/2018,28.50,208.58,12
GENESEE MOSELLE,10/31/2018,24.36,189.26,11
GENESEE MOSELLE,11/30/2018,19.94,139.35,13
GENESEE MOSELLE,07/31/2018,26.41,184.39,13
GENESEE MOSELLE,02/28/2018,20.27,127.31,14
GENESEE MOSELLE,04/30/2018,19.87,151.53,12
GENESEE MOSELLE,01/31/2018,22.14,167.08,12
GRANT FERRY,10/31/2018,47.02,221.89,17
GRANT FERRY,05/31/2018,48.62,254.38,16
GRANT FERRY,04/30/2018,38.61,169.42,19
GRANT FERRY,01/31/2018,48.62,206.49,19
GRANT FERRY,03/31/2018,35.51,157.84,18
GRANT FERRY,07/31/2018,37.38,161.51,19
GRANT FERRY,11/30/2018,39.38,197.10,17
GRANT FERRY,02/28/2018,42.79,180.70,19
GRANT FERRY,12/31/2017,42.81,176.27,20
GRANT FERRY,08/31/2018,48.82,236.00,17
GRANT FERRY,09/30/2018,40.76,187.39,18
GRANT FERRY,06/30/2018,42.33,196.23,18
GRIDER,10/31/2018,26.58,205.71,11
GRIDER,02/28/2018,24.73,138.61,15
GRIDER,11/30/2018,27.34,167.13,14
GRIDER,05/31/2018,36.31,222.13,14
GRIDER,12/31/2017,24.11,134.40,15
GRIDER,06/30/2018,25.83,187.91,12
GRIDER,04/30/2018,24.14,160.14,13
GRIDER,01/31/2018,27.56,140.52,16
GRIDER,08/31/2018,28.89,190.74,13
GRIDER,07/31/2018,32.29,185.03,15
GRIDER,03/31/2018,25.52,152.80,14
GRIDER,09/30/2018,23.26,184.13,11
HAMLIN PARK,11/30/2018,21.00,155.21,12
HAMLIN PARK,10/31/2018,21.72,146.00,13
HAMLIN PARK,02/28/2018,20.49,139.41,13
HAMLIN PARK,04/30/2018,19.65,138.83,12
HAMLIN PARK,08/31/2018,22.69,149.82,13
HAMLIN PARK,06/30/2018,21.29,150.71,12
HAMLIN PARK,12/31/2017,19.37,107.73,15
HAMLIN PARK,07/31/2018,23.33,174.40,12
HAMLIN PARK,09/30/2018,19.18,140.06,12
HAMLIN PARK,01/31/2018,20.27,149.97,12
HAMLIN PARK,05/31/2018,27.92,190.26,13
HAMLIN PARK,03/31/2018,21.48,139.34,13
JOHNSON,05/31/2018,5.90,44.70,12
JOHNSON,11/30/2018,3.96,32.84,11
JOHNSON,07/31/2018,5.45,45.06,11
