NEIGHBORHOOD,DATE,CURBSIDE RECYCLING (IN POUNDS),CURBSIDE GARBAGE (IN POUNDS),CURBSIDE RECYCLING RATE
SOUTH PARK,11/30/2018,44.06,242.12,15
SOUTH PARK,03/31/2018,33.20,190.76,15
SOUTH PARK,10/31/2018,51.38,279.42,16
SOUTH PARK,08/31/2018,41.12,216.50,16
SOUTH PARK,07/31/2018,52.33,292.12,15
SOUTH PARK,09/30/2018,41.53,221.92,16
SOUTH PARK,05/31/2018,51.00,269.19,16
STARIN CENTRAL,09/30/2018,38.99,157.02,20
STARIN CENTRAL,04/30/2018,38.87,147.38,21
STARIN CENTRAL,10/31/2018,38.98,144.76,21
STARIN CENTRAL,08/31/2018,47.99,215.89,18
STARIN CENTRAL,06/30/2018,38.04,194.68,16
STARIN CENTRAL,11/30/2018,48.57,212.29,19
STARIN CENTRAL,02/28/2018,34.26,119.55,22
STARIN CENTRAL,07/31/2018,37.99,150.20,20
STARIN CENTRAL,01/31/2018,39.70,98.03,29
STARIN CENTRAL,12/31/2017,43.80,143.54,23
STARIN CENTRAL,03/31/2018,48.18,162.91,23
STARIN CENTRAL,05/31/2018,52.15,251.23,17
STATE HOSPITAL,02/28/2018,0.46,2.36,16
STATE HOSPITAL,01/31/2018,0.51,2.67,16
STATE HOSPITAL,11/30/2018,0.72,3.66,16
STATE HOSPITAL,04/30/2018,0.55,3.22,15
STATE HOSPITAL,07/31/2018,0.62,4.03,13
STATE HOSPITAL,06/30/2018,0.70,4.30,14
STATE HOSPITAL,05/31/2018,0.59,3.26,15
STATE HOSPITAL,03/31/2018,0.64,3.35,16
STATE HOSPITAL,10/31/2018,0.54,3.31,14
STATE HOSPITAL,09/30/2018,0.61,3.28,16
STATE HOSPITAL,12/31/2017,0.77,4.06,16
STATE HOSPITAL,08/31/2018,0.74,4.04,16
TIFFT,02/28/2018,4.54,27.66,14
TIFFT,12/31/2017,5.18,24.88,17
TIFFT,10/31/2018,7.28,41.43,15
TIFFT,03/31/2018,5.87,32.82,15
TIFFT,08/31/2018,5.35,39.22,12
TIFFT,04/30/2018,7.00,41.91,14
TIFFT,07/31/2018,7.08,43.67,14
TIFFT,05/31/2018,5.37,38.48,12
TIFFT,01/31/2018,6.66,39.85,14
TIFFT,09/30/2018,6.32,37.18,15
TIFFT,11/30/2018,6.10,36.89,14
TIFFT,06/30/2018,5.37,41.33,11
TRIANGLE,10/31/2018,28.01,167.09,14
TRIANGLE,04/30/2018,27.17,168.96,14
TRIANGLE,03/31/2018,21.68,124.39,15
TRIANGLE,07/31/2018,27.69,175.83,14
TRIANGLE,05/31/2018,22.71,151.43,13
TRIANGLE,06/30/2018,22.09,151.51,13
TRIANGLE,09/30/2018,23.38,144.30,14
TRIANGLE,11/30/2018,23.92,143.59,14
TRIANGLE,12/31/2017,20.58,109.05,16
TRIANGLE,08/31/2018,21.18,147.11,13
TRIANGLE,02/28/2018,18.53,111.82,14
TRIANGLE,01/31/2018,27.77,155.60,15
UNIVERSITY,10/31/2018,18.06,101.31,15
UNIVERSITY,04/30/2018,19.85,86.47,19
UNIVERSITY,07/31/2018,18.71,100.51,16
UNIVERSITY,09/30/2018,21.12,105.45,17
UNIVERSITY,12/31/2017,20.40,90.76,18
UNIVERSITY,03/31/2018,21.87,102.87,18
UNIVERSITY,11/30/2018,26.55,100.37,21
UNIVERSITY,02/28/2018,20.40,74.62,21
UNIVERSITY,08/31/2018,26.53,140.47,16
UNIVERSITY,06/30/2018,20.45,99.32,17
UNIVERSITY,05/31/2018,28.73,166.53,15
UNIVERSITY,01/31/2018,18.98,66.44,22
VALLEY,07/31/2018,3.54,19.40,15
VALLEY,06/30/2018,2.97,18.15,14
VALLEY,05/31/2018,2.65,17.40,13
VALLEY,03/31/2018,2.79,14.27,16
VALLEY,08/31/2018,2.65,16.86,14
VALLEY,04/30/2018,3.34,19.74,14
VALLEY,11/30/2018,3.14,16.43,16
VALLEY,02/28/2018,2.68,12.75,17
VALLEY,12/31/2017,2.70,12.82,17
VALLEY,09/30/2018,2.66,15.90,14
VALLEY,01/31/2018,3.34,20.88,14
VALLEY,10/31/2018,3.30,19.06,15
WILLERT PARK,06/30/2018,14.96,92.69,14
WILLERT PARK,03/31/2018,9.34,65.80,12
WILLERT PARK,02/28/2018,12.89,77.68,14
WILLERT PARK,09/30/2018,12.93,83.73,13
WILLERT PARK,10/31/2018,14.55,106.24,12
WILLERT PARK,08/31/2018,17.20,113.47,13
WILLERT PARK,05/31/2018,16.41,109.60,13
WILLERT PARK,07/31/2018,14.31,95.88,13
WILLERT PARK,04/30/2018,11.30,77.15,13
WILLERT PARK,12/31/2017,10.17,88.32,10
WILLERT PARK,01/31/2018,14.32,109.85,12
WILLERT PARK,11/30/2018,11.08,80.91,12
